Question,Answer
إيه هو مجمع MediScan؟,مجمع MediScan هو صرح طبي مصري متخصص بيجمع بين الخبرة الطبية وأحدث تقنيات الذكاء الاصطناعي. بنقدم خدمات طبية شاملة مع تركيز خاص على الأمراض الجلدية والأورام الدماغية وأمراض الصدر. عندنا أطباء في كل التخصصات وبنوفر تحليل الصور الطبية بالذكاء الاصطناعي.
إزاي أقدر أرفع صورة تحليل أو أشعة؟,سهل جدًا! اضغط على زرار "📎 رفع صورة طبية" في الواجهة، اختار الصورة من جهازك (JPG أو PNG أو PDF)، وارفعها. الذكاء الاصطناعي هيحللها في أقل من دقيقتين ويديك تقرير مفصل. ممكن كمان تكتب أي ملاحظات أو أعراض بتحس بيها.
هل تحليل الصور بالذكاء الاصطناعي دقيق؟,أيوه دقيق جدًا! إحنا بنستخدم أحدث النماذج العالمية زي LLaVA-Med وMedGemma اللي دقتها بتوصل لـ 95%. بس مهم تعرف إن النتيجة دي للاستئناس ومش بديل عن استشارة الدكتور المتخصص. كل النتائج بتتراجع من دكاترة استشاريين عندنا.
كام سعر تحليل الصورة بالذكاء الاصطناعي؟,تحليل الصورة بالذكاء الاصطناعي بـ 150 جنيه بس. لو عايز استشارة كاملة مع دكتور بعد التحليل، الباقة الكاملة بـ 400 جنيه. وفي عروض وخصومات على الباقات الشهرية.
هل النظام بيفهم صور التحاليل بالعربي؟,طبعًا! النظام بتاعنا بيدعم العربية والإنجليزية. ممكن ترفع صورة تحليل مكتوبة بالعربي أو بالإنجليزي وهيفهمها ويحللها بكفاءة عالية.
إيه أنواع الصور الطبية اللي ممكن أرفعها؟,ممكن ترفع: أشعة سينية (X-Ray)، أشعة مقطعية (CT)، رنين مغناطيسي (MRI)، صور جلدية، تحاليل دم ومختبرات، تقارير طبية PDF. المهم الصورة تكون واضحة وجودتها كويسة.
كام وقت بياخد التحليل؟,التحليل الأولي بالذكاء الاصطناعي بياخد أقل من دقيقتين. بعد كده لو محتاج مراجعة من دكتور، بتوصلك خلال ساعة واحدة كحد أقصى في أوقات العمل.
إزاي أحجز موعد مع دكتور؟,سهل! قول للمساعد الذكي "عايز أحجز موعد" وهيسألك عن: اسمك، سنك، رقم تليفونك، إيميلك، سبب الزيارة، اليوم والوقت المناسب ليك. وهيحجزلك مع الدكتور المناسب لحالتك.
إيه التخصصات الرئيسية في MediScan؟,التخصصات الرئيسية اللي بنركز عليها: 1) الأمراض الجلدية (د. أحمد السيد ود. منى عبد الرحمن) 2) الأورام الدماغية وجراحة المخ والأعصاب (د. محمد فاروق ود. هبة الشافعي) 3) الأشعة الصدرية وأمراض الجهاز التنفسي (د. خالد الدسوقي ود. نورهان أحمد). وعندنا كمان كل التخصصات التانية.
عندكم دكاترة في تخصصات تانية؟,أيوه عندنا دكاترة في كل التخصصات: باطنة، قلب، جهاز هضمي، كلى، عظام، نساء وولادة، أطفال، أنف وأذن، عيون، أسنان، نفسي، تغذية علاجية. كل الدكاترة استشاريين وخبرة عالية.
كام سعر الكشف؟,الكشف العادي: 300 جنيه. الكشف الاستشاري: من 500 لـ 800 جنيه حسب التخصص. تحليل صورة بالذكاء الاصطناعي: 150 جنيه. تحليل + استشارة دكتور: 400 جنيه.
إيه هي أوقات العمل؟,العيادات: يوميًا من 9 صباحًا لـ 10 مساءً (ماعدا الجمعة). يوم الجمعة: من 2 ظهرًا لـ 8 مساءً. الخط الساخن: متاح 24/7 على الرقم 16888. خدمة تحليل الصور بالذكاء الاصطناعي متاحة على مدار الساعة.
فين عناوين العيادات؟,المقر الرئيسي: 123 شارع الهرم، الجيزة. الفرع الثاني: 45 شارع النصر، مدينة نصر، القاهرة. الخط الساخن: 16888. واتساب: 01000000888.
إيه طرق الدفع المتاحة؟,نقدي في العيادة، فيزا وماستركارد، فوري، فودافون كاش. ومتاح أقساط للعمليات الكبرى عبر ValU وSympl.
هل بياناتي آمنة؟,أكيد! إحنا بنستخدم أعلى معايير التشفير لحماية بياناتك. كل الصور والتقارير بتتشفر بالكامل. ومفيش مشاركة لبياناتك مع أي جهة خارجية. الصور بتتحذف أوتوماتيك بعد 30 يوم. ووصول الدكاترة محدود للمعنيين بحالتك بس.
لو حالتي طوارئ أعمل إيه؟,**لو حالتك طوارئ اتصل فورًا بالإسعاف على 123** أو روح أقرب مستشفى. خدماتنا مخصصة للحالات غير الطارئة والاستشارات الطبية. متستناش في حالات الطوارئ زي: ألم صدر شديد، صعوبة تنفس، نزيف شديد، فقدان وعي.
إزاي أقدر أتابع حالتي؟,بعد ما تسجل عندنا، هيكون عندك ملف طبي إلكتروني فيه كل زياراتك ونتائج تحاليلك والأشعة والأدوية الموصوفة. تقدر تدخل على الملف في أي وقت وتتابع حالتك. وفي خدمة التذكير بالمواعيد والأدوية.
ممكن أحجز لحد من عيلتي؟,أيوه ممكن تحجز لأي حد من عيلتك. بس لازم تقول للمساعد إن الحجز لمين وتديله معلومات الشخص بدقة (الاسم، السن، الأعراض). ولو الشخص بالغ يفضل يكون موافق على الحجز.
هل ممكن ألغي الموعد؟,أيوه ممكن تلغي الموعد. بس يفضل تلغي قبل الموعد بـ 24 ساعة على الأقل علشان نقدر نديه لمريض تاني. ممكن تلغي من خلال الاتصال بالخط الساخن 16888 أو من خلال حسابك على الموقع.
عندكم خدمة كشف منزلي؟,حاليًا متوفر الكشف في العيادات بس. بس في حالات خاصة (زي كبار السن أو المرضى اللي صعب عليهم الحركة) ممكن نرتب زيارة منزلية. اتصل بالخط الساخن للاستعلام عن الخدمة دي.
إيه الفرق بين الكشف العادي والاستشاري؟,الكشف العادي (300 جنيه): كشف عام مع دكتور عام أو أخصائي، مناسب للحالات البسيطة. الكشف الاستشاري (500-800 جنيه): مع دكتور استشاري خبرة عالية، للحالات المعقدة أو الرأي الثاني أو المتابعة الدقيقة.
لو مش راضي عن الخدمة أعمل إيه؟,نحن نهتم جدًا برضاك. لو عندك أي شكوى أو مش راضي عن الخدمة، اتصل بخدمة العملاء على 16888 أو ابعت إيميل لـ info@mediscan-eg.com. فيه قسم خاص لمتابعة الشكاوى وهنحاول نحلها في أسرع وقت.
هل ممكن أخد نسخة من التقارير الطبية؟,أكيد! كل التقارير الطبية والأشعة ونتائج التحاليل بتكون متاحة في ملفك الإلكتروني. تقدر تحملها PDF أو تطبعها في أي وقت. وممكن كمان تطلب نسخة ورقية من العيادة.
عندكم برامج صحية وقائية؟,أيوه عندنا برامج وقائية زي: فحص شامل سنوي، برنامج متابعة السكر والضغط، برنامج الكشف المبكر عن السرطان، برامج التغذية الصحية واللياقة. اسأل عن العروض والباقات السنوية.
